"","gene_id","gene_type","gene_name"
"999","ENSG00000067113.17","protein_coding","PLPP1"
"1000","ENSG00000067141.17","protein_coding","NEO1"
"1001","ENSG00000067167.8","protein_coding","TRAM1"
"1002","ENSG00000067177.15","protein_coding","PHKA1"
"1003","ENSG00000067182.8","protein_coding","TNFRSF1A"
"1004","ENSG00000067191.16","protein_coding","CACNB1"
"1005","ENSG00000067208.14","protein_coding","EVI5"
"1006","ENSG00000067221.14","protein_coding","STOML1"
"1007","ENSG00000067225.18","protein_coding","PKM"
"1008","ENSG00000067248.10","protein_coding","DHX29"
"1009","ENSG00000067334.14","protein_coding","DNTTIP2"
"1010","ENSG00000067365.15","protein_coding","METTL22"
"1011","ENSG00000067369.14","protein_coding","TP53BP1"
"1012","ENSG00000067445.21","protein_coding","TRO"
"1013","ENSG00000067533.6","protein_coding","RRP15"
"1014","ENSG00000067560.13","protein_coding","RHOA"
"1015","ENSG00000067596.12","protein_coding","DHX8"
"1016","ENSG00000067601.8","transcribed_unprocessed_pseudogene","PMS2P4"
"1017","ENSG00000067606.17","protein_coding","PRKCZ"
"1018","ENSG00000067646.12","protein_coding","ZFY"
"1019","ENSG00000067704.10","protein_coding","IARS2"
"1020","ENSG00000067715.14","protein_coding","SYT1"
"1021","ENSG00000067798.16","protein_coding","NAV3"
"1022","ENSG00000067829.19","protein_coding","IDH3G"
"1023","ENSG00000067836.13","protein_coding","ROGDI"
"1024","ENSG00000067840.12","protein_coding","PDZD4"
"1025","ENSG00000067842.17","protein_coding","ATP2B3"
"1026","ENSG00000067900.8","protein_coding","ROCK1"
"1027","ENSG00000067955.15","protein_coding","CBFB"
"1028","ENSG00000067992.16","protein_coding","PDK3"
"1029","ENSG00000068001.14","protein_coding","HYAL2"
"1030","ENSG00000068024.17","protein_coding","HDAC4"
"1031","ENSG00000068028.17","protein_coding","RASSF1"
"1032","ENSG00000068078.20","protein_coding","FGFR3"
"1033","ENSG00000068079.8","protein_coding","IFI35"
"1034","ENSG00000068097.15","protein_coding","HEATR6"
"1035","ENSG00000068120.15","protein_coding","COASY"
"1036","ENSG00000068137.15","protein_coding","PLEKHH3"
"1037","ENSG00000068305.17","protein_coding","MEF2A"
"1038","ENSG00000068308.14","protein_coding","OTUD5"
"1039","ENSG00000068323.17","protein_coding","TFE3"
"1040","ENSG00000068354.16","protein_coding","TBC1D25"
"1041","ENSG00000068366.20","protein_coding","ACSL4"
"1042","ENSG00000068383.19","protein_coding","INPP5A"
"1043","ENSG00000068394.11","protein_coding","GPKOW"
"1044","ENSG00000068400.13","protein_coding","GRIPAP1"
"1045","ENSG00000068438.15","protein_coding","FTSJ1"
"1046","ENSG00000068489.13","protein_coding","PRR11"
"1047","ENSG00000068615.19","protein_coding","REEP1"
"1048","ENSG00000068650.18","protein_coding","ATP11A"
"1049","ENSG00000068654.16","protein_coding","POLR1A"
"1050","ENSG00000068697.7","protein_coding","LAPTM4A"
"1051","ENSG00000068724.17","protein_coding","TTC7A"
"1052","ENSG00000068745.15","protein_coding","IP6K2"
"1053","ENSG00000068781.21","protein_coding","STON1-GTF2A1L"
"1054","ENSG00000068784.13","protein_coding","SRBD1"
"1055","ENSG00000068796.19","protein_coding","KIF2A"
"1056","ENSG00000068831.19","protein_coding","RASGRP2"
"1057","ENSG00000068878.15","protein_coding","PSME4"
"1058","ENSG00000068885.15","protein_coding","IFT80"
"1059","ENSG00000068903.20","protein_coding","SIRT2"
"1060","ENSG00000068912.14","protein_coding","ERLEC1"
"1061","ENSG00000068971.14","protein_coding","PPP2R5B"
"1062","ENSG00000068976.14","protein_coding","PYGM"
"1063","ENSG00000068985.5","protein_coding","PAGE1"
"1064","ENSG00000069011.16","protein_coding","PITX1"
"1065","ENSG00000069018.19","protein_coding","TRPC7"
"1066","ENSG00000069020.18","protein_coding","MAST4"
"1067","ENSG00000069122.19","protein_coding","ADGRF5"
"1068","ENSG00000069188.17","protein_coding","SDK2"
"1069","ENSG00000069206.15","protein_coding","ADAM7"
"1070","ENSG00000069248.12","protein_coding","NUP133"
"1071","ENSG00000069275.13","protein_coding","NUCKS1"
"1072","ENSG00000069329.18","protein_coding","VPS35"
"1073","ENSG00000069345.12","protein_coding","DNAJA2"
"1074","ENSG00000069399.15","protein_coding","BCL3"
"1075","ENSG00000069424.15","protein_coding","KCNAB2"
"1076","ENSG00000069431.11","protein_coding","ABCC9"
"1077","ENSG00000069482.7","protein_coding","GAL"
"1078","ENSG00000069493.15","protein_coding","CLEC2D"
"1079","ENSG00000069509.6","protein_coding","FUNDC1"
"1080","ENSG00000069535.14","protein_coding","MAOB"
"1081","ENSG00000069667.16","protein_coding","RORA"
"1082","ENSG00000069696.7","protein_coding","DRD4"
"1083","ENSG00000069702.11","protein_coding","TGFBR3"
"1084","ENSG00000069764.10","protein_coding","PLA2G10"
"1085","ENSG00000069812.11","protein_coding","HES2"
"1086","ENSG00000069849.11","protein_coding","ATP1B3"
"1087","ENSG00000069869.16","protein_coding","NEDD4"
"1088","ENSG00000069943.10","protein_coding","PIGB"
"1089","ENSG00000069956.12","protein_coding","MAPK6"
"1090","ENSG00000069966.19","protein_coding","GNB5"
"1091","ENSG00000069974.16","protein_coding","RAB27A"
"1092","ENSG00000069998.12","protein_coding","HDHD5"
"1093","ENSG00000070010.19","protein_coding","UFD1"
"1094","ENSG00000070018.9","protein_coding","LRP6"
"1095","ENSG00000070019.5","protein_coding","GUCY2C"
"1096","ENSG00000070031.4","protein_coding","SCT"
"1097","ENSG00000070047.13","protein_coding","PHRF1"
"1098","ENSG00000070061.16","protein_coding","ELP1"
"1099","ENSG00000070081.17","protein_coding","NUCB2"
"1100","ENSG00000070087.14","protein_coding","PFN2"
"1101","ENSG00000070159.14","protein_coding","PTPN3"
"1102","ENSG00000070182.21","protein_coding","SPTB"
"1103","ENSG00000070190.13","protein_coding","DAPP1"
"1104","ENSG00000070193.5","protein_coding","FGF10"
"1105","ENSG00000070214.16","protein_coding","SLC44A1"
"1106","ENSG00000070269.14","protein_coding","TMEM260"
"1107","ENSG00000070366.14","protein_coding","SMG6"
"1108","ENSG00000070367.16","protein_coding","EXOC5"
"1109","ENSG00000070371.16","protein_coding","CLTCL1"
"1110","ENSG00000070388.11","protein_coding","FGF22"
"1111","ENSG00000070404.10","protein_coding","FSTL3"
"1112","ENSG00000070413.20","protein_coding","DGCR2"
"1113","ENSG00000070423.18","protein_coding","RNF126"
"1114","ENSG00000070444.15","protein_coding","MNT"
"1115","ENSG00000070476.15","protein_coding","ZXDC"
"1116","ENSG00000070495.15","protein_coding","JMJD6"
"1117","ENSG00000070501.12","protein_coding","POLB"
"1118","ENSG00000070526.15","protein_coding","ST6GALNAC1"
"1119","ENSG00000070540.13","protein_coding","WIPI1"
"1120","ENSG00000070601.10","protein_coding","FRMPD1"
"1121","ENSG00000070610.14","protein_coding","GBA2"
"1122","ENSG00000070614.15","protein_coding","NDST1"
"1123","ENSG00000070669.17","protein_coding","ASNS"
"1124","ENSG00000070718.12","protein_coding","AP3M2"
"1125","ENSG00000070729.14","protein_coding","CNGB1"
"1126","ENSG00000070731.11","protein_coding","ST6GALNAC2"
"1127","ENSG00000070748.19","protein_coding","CHAT"
"1128","ENSG00000070756.17","protein_coding","PABPC1"
"1129","ENSG00000070759.17","protein_coding","TESK2"
"1130","ENSG00000070761.8","protein_coding","CFAP20"
"1131","ENSG00000070770.10","protein_coding","CSNK2A2"
"1132","ENSG00000070778.13","protein_coding","PTPN21"
"1133","ENSG00000070785.17","protein_coding","EIF2B3"
"1134","ENSG00000070808.16","protein_coding","CAMK2A"
"1135","ENSG00000070814.22","protein_coding","TCOF1"
"1136","ENSG00000070831.17","protein_coding","CDC42"
"1137","ENSG00000070882.13","protein_coding","OSBPL3"
"1138","ENSG00000070886.12","protein_coding","EPHA8"
"1139","ENSG00000070915.10","protein_coding","SLC12A3"
"1140","ENSG00000070950.10","protein_coding","RAD18"
"1141","ENSG00000070961.16","protein_coding","ATP2B1"
"1142","ENSG00000070985.13","protein_coding","TRPM5"
"1143","ENSG00000071051.14","protein_coding","NCK2"
"1144","ENSG00000071054.16","protein_coding","MAP4K4"
"1145","ENSG00000071073.13","protein_coding","MGAT4A"
"1146","ENSG00000071082.11","protein_coding","RPL31"
"1147","ENSG00000071127.17","protein_coding","WDR1"
"1148","ENSG00000071189.21","protein_coding","SNX13"
"1149","ENSG00000071203.9","protein_coding","MS4A12"
"1150","ENSG00000071205.12","protein_coding","ARHGAP10"
"1151","ENSG00000071242.12","protein_coding","RPS6KA2"
"1152","ENSG00000071243.16","protein_coding","ING3"
"1153","ENSG00000071246.11","protein_coding","VASH1"
"1154","ENSG00000071282.12","protein_coding","LMCD1"
"1155","ENSG00000071462.12","protein_coding","BUD23"
"1156","ENSG00000071537.14","protein_coding","SEL1L"
"1157","ENSG00000071539.14","protein_coding","TRIP13"
"1158","ENSG00000071553.18","protein_coding","ATP6AP1"
"1159","ENSG00000071564.17","protein_coding","TCF3"
"1160","ENSG00000071575.11","protein_coding","TRIB2"
"1161","ENSG00000071626.17","protein_coding","DAZAP1"
"1162","ENSG00000071655.18","protein_coding","MBD3"
"1163","ENSG00000071677.1","protein_coding","PRLH"
"1164","ENSG00000071794.16","protein_coding","HLTF"
"1165","ENSG00000071859.15","protein_coding","FAM50A"
"1166","ENSG00000071889.17","protein_coding","FAM3A"
"1167","ENSG00000071894.17","protein_coding","CPSF1"
"1168","ENSG00000071909.19","protein_coding","MYO3B"
"1169","ENSG00000071967.12","protein_coding","CYBRD1"
"1170","ENSG00000071991.9","protein_coding","CDH19"
"1171","ENSG00000071994.11","protein_coding","PDCD2"
"1172","ENSG00000072041.17","protein_coding","SLC6A15"
"1173","ENSG00000072042.13","protein_coding","RDH11"
"1174","ENSG00000072062.15","protein_coding","PRKACA"
"1175","ENSG00000072071.16","protein_coding","ADGRL1"
"1176","ENSG00000072080.11","protein_coding","SPP2"
"1177","ENSG00000072110.15","protein_coding","ACTN1"
"1178","ENSG00000072121.17","protein_coding","ZFYVE26"
"1179","ENSG00000072133.11","protein_coding","RPS6KA6"
"1180","ENSG00000072134.15","protein_coding","EPN2"
"1181","ENSG00000072135.13","protein_coding","PTPN18"
"1182","ENSG00000072163.20","protein_coding","LIMS2"
"1183","ENSG00000072182.13","protein_coding","ASIC4"
"1184","ENSG00000072195.15","protein_coding","SPEG"
"1185","ENSG00000072201.14","protein_coding","LNX1"
"1186","ENSG00000072210.19","protein_coding","ALDH3A2"
"1187","ENSG00000072274.13","protein_coding","TFRC"
"1188","ENSG00000072310.17","protein_coding","SREBF1"
"1189","ENSG00000072315.3","protein_coding","TRPC5"
"1190","ENSG00000072364.13","protein_coding","AFF4"
"1191","ENSG00000072401.15","protein_coding","UBE2D1"
"1192","ENSG00000072415.10","protein_coding","MPP5"
"1193","ENSG00000072422.17","protein_coding","RHOBTB1"
"1194","ENSG00000072501.19","protein_coding","SMC1A"
"1195","ENSG00000072506.13","protein_coding","HSD17B10"
"1196","ENSG00000072518.21","protein_coding","MARK2"
"1197","ENSG00000072571.20","protein_coding","HMMR"
"1198","ENSG00000072609.18","protein_coding","CHFR"
"1199","ENSG00000072657.9","protein_coding","TRHDE"
"1200","ENSG00000072682.19","protein_coding","P4HA2"
"1201","ENSG00000072694.21","protein_coding","FCGR2B"
"1202","ENSG00000072736.19","protein_coding","NFATC3"
"1203","ENSG00000072756.17","protein_coding","TRNT1"
"1204","ENSG00000072778.20","protein_coding","ACADVL"
"1205","ENSG00000072786.13","protein_coding","STK10"
"1206","ENSG00000072803.17","protein_coding","FBXW11"
"1207","ENSG00000072818.12","protein_coding","ACAP1"
"1208","ENSG00000072832.15","protein_coding","CRMP1"
"1209","ENSG00000072840.13","protein_coding","EVC"
"1210","ENSG00000072849.11","protein_coding","DERL2"
"1211","ENSG00000072858.11","protein_coding","SIDT1"
"1212","ENSG00000072864.16","protein_coding","NDE1"
"1213","ENSG00000072952.19","protein_coding","IRAG1"
"1214","ENSG00000072954.7","protein_coding","TMEM38A"
"1215","ENSG00000072958.9","protein_coding","AP1M1"
"1216","ENSG00000073008.15","protein_coding","PVR"
"1217","ENSG00000073050.12","protein_coding","XRCC1"
"1218","ENSG00000073060.16","protein_coding","SCARB1"
"1219","ENSG00000073067.14","protein_coding","CYP2W1"
"1220","ENSG00000073111.14","protein_coding","MCM2"
"1221","ENSG00000073146.16","protein_coding","MOV10L1"
"1222","ENSG00000073150.14","protein_coding","PANX2"
"1223","ENSG00000073169.14","protein_coding","SELENOO"
"1224","ENSG00000073282.14","protein_coding","TP63"
"1225","ENSG00000073331.18","protein_coding","ALPK1"
"1226","ENSG00000073350.14","protein_coding","LLGL2"
"1227","ENSG00000073417.15","protein_coding","PDE8A"
"1228","ENSG00000073464.13","protein_coding","CLCN4"
"1229","ENSG00000073536.18","protein_coding","NLE1"
"1230","ENSG00000073578.17","protein_coding","SDHA"
"1231","ENSG00000073584.20","protein_coding","SMARCE1"
"1232","ENSG00000073598.6","protein_coding","FNDC8"
"1233","ENSG00000073605.18","protein_coding","GSDMB"
"1234","ENSG00000073614.13","protein_coding","KDM5A"
"1235","ENSG00000073670.14","protein_coding","ADAM11"
"1236","ENSG00000073711.11","protein_coding","PPP2R3A"
"1237","ENSG00000073712.15","protein_coding","FERMT2"
"1238","ENSG00000073734.10","protein_coding","ABCB11"
"1239","ENSG00000073737.17","protein_coding","DHRS9"
"1240","ENSG00000073754.6","protein_coding","CD5L"
"1241","ENSG00000073756.12","protein_coding","PTGS2"
"1242","ENSG00000073792.16","protein_coding","IGF2BP2"
"1243","ENSG00000073803.14","protein_coding","MAP3K13"
"1244","ENSG00000073849.16","protein_coding","ST6GAL1"
"1245","ENSG00000073861.3","protein_coding","TBX21"
"1246","ENSG00000073905.8","processed_pseudogene","VDAC1P1"
"1247","ENSG00000073910.22","protein_coding","FRY"
"1248","ENSG00000073921.18","protein_coding","PICALM"
"1249","ENSG00000073969.18","protein_coding","NSF"
"1250","ENSG00000074047.22","protein_coding","GLI2"
"1251","ENSG00000074054.20","protein_coding","CLASP1"
"1252","ENSG00000074071.15","protein_coding","MRPS34"
"1253","ENSG00000074181.9","protein_coding","NOTCH3"
"1254","ENSG00000074201.9","protein_coding","CLNS1A"
"1255","ENSG00000074211.14","protein_coding","PPP2R2C"
"1256","ENSG00000074219.14","protein_coding","TEAD2"
"1257","ENSG00000074266.22","protein_coding","EED"
"1258","ENSG00000074276.10","protein_coding","CDHR2"
"1259","ENSG00000074317.11","protein_coding","SNCB"
"1260","ENSG00000074319.13","protein_coding","TSG101"
"1261","ENSG00000074356.17","protein_coding","NCBP3"
"1262","ENSG00000074370.18","protein_coding","ATP2A3"
"1263","ENSG00000074410.14","protein_coding","CA12"
"1264","ENSG00000074416.14","protein_coding","MGLL"
"1265","ENSG00000074527.13","protein_coding","NTN4"
"1266","ENSG00000074582.15","protein_coding","BCS1L"
"1267","ENSG00000074590.13","protein_coding","NUAK1"
"1268","ENSG00000074603.19","protein_coding","DPP8"
"1269","ENSG00000074621.14","protein_coding","SLC24A1"
"1270","ENSG00000074657.14","protein_coding","ZNF532"
"1271","ENSG00000074660.16","protein_coding","SCARF1"
"1272","ENSG00000074695.6","protein_coding","LMAN1"
"1273","ENSG00000074696.13","protein_coding","HACD3"
"1274","ENSG00000074706.13","protein_coding","IPCEF1"
"1275","ENSG00000074755.15","protein_coding","ZZEF1"
"1276","ENSG00000074771.4","protein_coding","NOX3"
"1277","ENSG00000074800.16","protein_coding","ENO1"
"1278","ENSG00000074803.20","protein_coding","SLC12A1"
"1279","ENSG00000074842.8","protein_coding","MYDGF"
"1280","ENSG00000074855.11","protein_coding","ANO8"
"1281","ENSG00000074935.14","protein_coding","TUBE1"
"1282","ENSG00000074964.17","protein_coding","ARHGEF10L"
"1283","ENSG00000074966.11","protein_coding","TXK"
"1284","ENSG00000075035.10","protein_coding","WSCD2"
"1285","ENSG00000075043.19","protein_coding","KCNQ2"
"1286","ENSG00000075073.15","protein_coding","TACR2"
"1287","ENSG00000075089.9","protein_coding","ACTR6"
"1288","ENSG00000075131.10","protein_coding","TIPIN"
"1289","ENSG00000075142.14","protein_coding","SRI"
"1290","ENSG00000075151.21","protein_coding","EIF4G3"
"1291","ENSG00000075188.9","protein_coding","NUP37"
"1292","ENSG00000075213.11","protein_coding","SEMA3A"
"1293","ENSG00000075218.19","protein_coding","GTSE1"
"1294","ENSG00000075223.14","protein_coding","SEMA3C"
"1295","ENSG00000075234.17","protein_coding","TTC38"
"1296","ENSG00000075239.14","protein_coding","ACAT1"
"1297","ENSG00000075240.17","protein_coding","GRAMD4"
"1298","ENSG00000075275.18","protein_coding","CELSR1"
"1299","ENSG00000075290.8","protein_coding","WNT8B"
"1300","ENSG00000075292.19","protein_coding","ZNF638"
"1301","ENSG00000075303.13","protein_coding","SLC25A40"
"1302","ENSG00000075336.12","protein_coding","TIMM21"
"1303","ENSG00000075340.23","protein_coding","ADD2"
"1304","ENSG00000075388.4","protein_coding","FGF4"
"1305","ENSG00000075391.17","protein_coding","RASAL2"
"1306","ENSG00000075399.14","protein_coding","VPS9D1"
"1307","ENSG00000075407.18","protein_coding","ZNF37A"
"1308","ENSG00000075413.19","protein_coding","MARK3"
"1309","ENSG00000075415.13","protein_coding","SLC25A3"
"1310","ENSG00000075420.13","protein_coding","FNDC3B"
"1311","ENSG00000075426.12","protein_coding","FOSL2"
"1312","ENSG00000075429.9","protein_coding","CACNG5"
"1313","ENSG00000075461.6","protein_coding","CACNG4"
"1314","ENSG00000075539.15","protein_coding","FRYL"
"1315","ENSG00000075568.17","protein_coding","TMEM131"
"1316","ENSG00000075618.18","protein_coding","FSCN1"
"1317","ENSG00000075624.17","protein_coding","ACTB"
"1318","ENSG00000075643.6","protein_coding","MOCOS"
"1319","ENSG00000075651.16","protein_coding","PLD1"
"1320","ENSG00000075673.12","protein_coding","ATP12A"
"1321","ENSG00000075702.18","protein_coding","WDR62"
"1322","ENSG00000075711.21","protein_coding","DLG1"
"1323","ENSG00000075785.14","protein_coding","RAB7A"
"1324","ENSG00000075790.12","protein_coding","BCAP29"
"1325","ENSG00000075826.17","protein_coding","SEC31B"
"1326","ENSG00000075856.12","protein_coding","SART3"
"1327","ENSG00000075884.14","protein_coding","ARHGAP15"
"1328","ENSG00000075886.11","protein_coding","TUBA3D"
"1329","ENSG00000075891.22","protein_coding","PAX2"
"1330","ENSG00000075914.13","protein_coding","EXOSC7"
"1331","ENSG00000075945.13","protein_coding","KIFAP3"
"1332","ENSG00000075975.17","protein_coding","MKRN2"
"1333","ENSG00000076003.5","protein_coding","MCM6"
"1334","ENSG00000076043.11","protein_coding","REXO2"
"1335","ENSG00000076053.12","protein_coding","RBM7"
"1336","ENSG00000076067.13","protein_coding","RBMS2"
"1337","ENSG00000076108.12","protein_coding","BAZ2A"
"1338","ENSG00000076201.15","protein_coding","PTPN23"
"1339","ENSG00000076242.16","protein_coding","MLH1"
"1340","ENSG00000076248.11","protein_coding","UNG"
"1341","ENSG00000076258.10","protein_coding","FMO4"
"1342","ENSG00000076321.11","protein_coding","KLHL20"
"1343","ENSG00000076344.16","protein_coding","RGS11"
"1344","ENSG00000076351.13","protein_coding","SLC46A1"
"1345","ENSG00000076356.7","protein_coding","PLXNA2"
"1346","ENSG00000076382.17","protein_coding","SPAG5"
"1347","ENSG00000076513.17","protein_coding","ANKRD13A"
"1348","ENSG00000076554.15","protein_coding","TPD52"
"1349","ENSG00000076555.15","protein_coding","ACACB"
"1350","ENSG00000076604.15","protein_coding","TRAF4"
"1351","ENSG00000076641.4","protein_coding","PAG1"
"1352","ENSG00000076650.7","protein_coding","GPATCH1"
"1353","ENSG00000076662.10","protein_coding","ICAM3"
"1354","ENSG00000076685.19","protein_coding","NT5C2"
"1355","ENSG00000076706.17","protein_coding","MCAM"
"1356","ENSG00000076716.9","protein_coding","GPC4"
"1357","ENSG00000076770.14","protein_coding","MBNL3"
"1358","ENSG00000076826.10","protein_coding","CAMSAP3"
"1359","ENSG00000076864.19","protein_coding","RAP1GAP"
"1360","ENSG00000076924.12","protein_coding","XAB2"
"1361","ENSG00000076928.18","protein_coding","ARHGEF1"
"1362","ENSG00000076944.16","protein_coding","STXBP2"
"1363","ENSG00000076984.18","protein_coding","MAP2K7"
"1364","ENSG00000077009.13","protein_coding","NMRK2"
"1365","ENSG00000077044.11","protein_coding","DGKD"
"1366","ENSG00000077063.11","protein_coding","CTTNBP2"
"1367","ENSG00000077080.10","protein_coding","ACTL6B"
"1368","ENSG00000077092.19","protein_coding","RARB"
"1369","ENSG00000077097.15","protein_coding","TOP2B"
"1370","ENSG00000077147.16","protein_coding","TM9SF3"
"1371","ENSG00000077150.20","protein_coding","NFKB2"
"1372","ENSG00000077152.11","protein_coding","UBE2T"
"1373","ENSG00000077157.22","protein_coding","PPP1R12B"
"1374","ENSG00000077232.18","protein_coding","DNAJC10"
"1375","ENSG00000077235.18","protein_coding","GTF3C1"
"1376","ENSG00000077238.14","protein_coding","IL4R"
"1377","ENSG00000077254.14","protein_coding","USP33"
"1378","ENSG00000077264.15","protein_coding","PAK3"
"1379","ENSG00000077274.9","protein_coding","CAPN6"
"1380","ENSG00000077279.19","protein_coding","DCX"
"1381","ENSG00000077312.9","protein_coding","SNRPA"
"1382","ENSG00000077327.16","protein_coding","SPAG6"
"1383","ENSG00000077348.9","protein_coding","EXOSC5"
"1384","ENSG00000077380.16","protein_coding","DYNC1I2"
"1385","ENSG00000077420.16","protein_coding","APBB1IP"
"1386","ENSG00000077454.16","protein_coding","LRCH4"
"1387","ENSG00000077458.13","protein_coding","FAM76B"
"1388","ENSG00000077463.15","protein_coding","SIRT6"
"1389","ENSG00000077498.9","protein_coding","TYR"
"1390","ENSG00000077514.9","protein_coding","POLD3"
"1391","ENSG00000077522.14","protein_coding","ACTN2"
"1392","ENSG00000077549.19","protein_coding","CAPZB"
"1393","ENSG00000077585.14","protein_coding","GPR137B"
"1394","ENSG00000077616.11","protein_coding","NAALAD2"
"1395","ENSG00000077684.16","protein_coding","JADE1"
"1396","ENSG00000077713.19","protein_coding","SLC25A43"
"1397","ENSG00000077721.16","protein_coding","UBE2A"
"1398","ENSG00000077782.21","protein_coding","FGFR1"
"1399","ENSG00000077800.13","protein_coding","FKBP6"
"1400","ENSG00000077935.17","protein_coding","SMC1B"
"1401","ENSG00000077942.19","protein_coding","FBLN1"
"1402","ENSG00000077943.8","protein_coding","ITGA8"
"1403","ENSG00000077984.6","protein_coding","CST7"
"1404","ENSG00000078018.20","protein_coding","MAP2"
"1405","ENSG00000078043.16","protein_coding","PIAS2"
"1406","ENSG00000078053.17","protein_coding","AMPH"
"1407","ENSG00000078061.13","protein_coding","ARAF"
"1408","ENSG00000078070.13","protein_coding","MCCC1"
"1409","ENSG00000078081.8","protein_coding","LAMP3"
"1410","ENSG00000078098.14","protein_coding","FAP"
"1411","ENSG00000078114.19","protein_coding","NEBL"
"1412","ENSG00000078124.12","protein_coding","ACER3"
"1413","ENSG00000078140.14","protein_coding","UBE2K"
"1414","ENSG00000078142.13","protein_coding","PIK3C3"
"1415","ENSG00000078177.14","protein_coding","N4BP2"
"1416","ENSG00000078237.7","protein_coding","TIGAR"
"1417","ENSG00000078246.17","protein_coding","TULP3"
"1418","ENSG00000078269.15","protein_coding","SYNJ2"
"1419","ENSG00000078295.17","protein_coding","ADCY2"
"1420","ENSG00000078304.19","protein_coding","PPP2R5C"
"1421","ENSG00000078319.10","transcribed_unprocessed_pseudogene","PMS2P1"
"1422","ENSG00000078328.22","protein_coding","RBFOX1"
"1423","ENSG00000078369.18","protein_coding","GNB1"
"1424","ENSG00000078399.19","protein_coding","HOXA9"
"1425","ENSG00000078401.7","protein_coding","EDN1"
"1426","ENSG00000078403.17","protein_coding","MLLT10"
"1427","ENSG00000078487.17","protein_coding","ZCWPW1"
"1428","ENSG00000078549.15","protein_coding","ADCYAP1R1"
"1429","ENSG00000078579.9","protein_coding","FGF20"
"1430","ENSG00000078589.13","protein_coding","P2RY10"
"1431","ENSG00000078596.11","protein_coding","ITM2A"
"1432","ENSG00000078618.22","protein_coding","NRDC"
"1433","ENSG00000078668.14","protein_coding","VDAC3"
"1434","ENSG00000078674.18","protein_coding","PCM1"
"1435","ENSG00000078687.17","protein_coding","TNRC6C"
"1436","ENSG00000078699.22","protein_coding","CBFA2T2"
"1437","ENSG00000078725.13","protein_coding","BRINP1"
"1438","ENSG00000078747.16","protein_coding","ITCH"
"1439","ENSG00000078795.17","protein_coding","PKD2L2"
"1440","ENSG00000078804.13","protein_coding","TP53INP2"
"1441","ENSG00000078808.19","protein_coding","SDF4"
"1442","ENSG00000078814.17","protein_coding","MYH7B"
"1443","ENSG00000078898.7","protein_coding","BPIFB2"
"1444","ENSG00000078900.15","protein_coding","TP73"
"1445","ENSG00000078902.16","protein_coding","TOLLIP"
"1446","ENSG00000078967.13","protein_coding","UBE2D4"
"1447","ENSG00000079101.16","protein_coding","CLUL1"
"1448","ENSG00000079102.16","protein_coding","RUNX1T1"
"1449","ENSG00000079112.10","protein_coding","CDH17"
"1450","ENSG00000079134.12","protein_coding","THOC1"
"1451","ENSG00000079150.18","protein_coding","FKBP7"
"1452","ENSG00000079156.17","protein_coding","OSBPL6"
"1453","ENSG00000079215.14","protein_coding","SLC1A3"
"1454","ENSG00000079246.16","protein_coding","XRCC5"
"1455","ENSG00000079257.8","protein_coding","LXN"
"1456","ENSG00000079263.19","protein_coding","SP140"
"1457","ENSG00000079277.22","protein_coding","MKNK1"
"1458","ENSG00000079308.19","protein_coding","TNS1"
"1459","ENSG00000079313.15","protein_coding","REXO1"
"1460","ENSG00000079332.15","protein_coding","SAR1A"
"1461","ENSG00000079335.20","protein_coding","CDC14A"
"1462","ENSG00000079337.16","protein_coding","RAPGEF3"
"1463","ENSG00000079385.23","protein_coding","CEACAM1"
"1464","ENSG00000079387.14","protein_coding","SENP1"
"1465","ENSG00000079393.20","protein_coding","DUSP13"
"1466","ENSG00000079432.7","protein_coding","CIC"
"1467","ENSG00000079435.10","protein_coding","LIPE"
"1468","ENSG00000079459.13","protein_coding","FDFT1"
"1469","ENSG00000079462.8","protein_coding","PAFAH1B3"
"1470","ENSG00000079482.13","protein_coding","OPHN1"
"1471","ENSG00000079557.5","protein_coding","AFM"
"1472","ENSG00000079616.13","protein_coding","KIF22"
"1473","ENSG00000079689.14","protein_coding","SCGN"
"1474","ENSG00000079691.18","protein_coding","CARMIL1"
"1475","ENSG00000079739.17","protein_coding","PGM1"
"1476","ENSG00000079785.16","protein_coding","DDX1"
"1477","ENSG00000079805.18","protein_coding","DNM2"
"1478","ENSG00000079819.19","protein_coding","EPB41L2"
"1479","ENSG00000079841.18","protein_coding","RIMS1"
"1480","ENSG00000079931.15","protein_coding","MOXD1"
"1481","ENSG00000079950.14","protein_coding","STX7"
"1482","ENSG00000079974.18","protein_coding","RABL2B"
"1483","ENSG00000079999.14","protein_coding","KEAP1"
"1484","ENSG00000080007.8","protein_coding","DDX43"
"1485","ENSG00000080031.10","protein_coding","PTPRH"
"1486","ENSG00000080166.16","protein_coding","DCT"
"1487","ENSG00000080189.15","protein_coding","SLC35C2"
"1488","ENSG00000080200.10","protein_coding","CRYBG3"
"1489","ENSG00000080224.17","protein_coding","EPHA6"
"1490","ENSG00000080293.10","protein_coding","SCTR"
"1491","ENSG00000080298.15","protein_coding","RFX3"
"1492","ENSG00000080345.18","protein_coding","RIF1"
"1493","ENSG00000080371.6","protein_coding","RAB21"
"1494","ENSG00000080493.18","protein_coding","SLC4A4"
"1495","ENSG00000080503.24","protein_coding","SMARCA2"
"1496","ENSG00000080511.5","protein_coding","RDH8"
"1497","ENSG00000080546.13","protein_coding","SESN1"
